Date_Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
2021-03-22 10:21:43,30.6,17.4,35.4,65.7,36.0,32.1,46.8,13.3,18.9,15.3,2.7,11.8,48.3,25.8,0.0,18.0,0.0,0.0,26.673333333333332,20.875489233439826,36.2,19.590537931087784,20.322222222222223,18.286647443590592,6.0,8.48528137423857
2021-03-22 10:21:44,31.8,16.2,34.2,57.6,36.0,28.8,50.4,11.4,19.2,14.4,3.6,11.4,45.4,23.4,0.0,18.0,0.0,0.0,25.586666666666666,20.51939680607041,34.1,18.650405631112058,19.91111111111111,18.68378634940467,6.0,8.48528137423857
2021-03-22 10:21:45,33.0,15.0,33.0,49.5,36.0,25.5,54.0,9.5,19.5,13.5,4.5,11.0,42.5,21.0,0.0,18.0,0.0,0.0,24.5,20.163304378700996,32.0,17.710273331136328,19.5,19.080925255218748,6.0,8.48528137423857
2021-03-22 10:21:46,34.2,13.8,31.8,41.400000000000006,36.0,22.200000000000003,57.6,7.600000000000001,19.8,12.6,5.4,10.6,39.6,18.6,0.0,18.0,0.0,0.0,23.413333333333334,19.80721195133158,29.9,16.7701410311606,19.08888888888889,19.478064161032826,6.0,8.48528137423857
2021-03-22 10:21:47,35.4,12.6,30.6,33.300000000000004,36.0,18.900000000000002,61.2,5.700000000000001,20.1,11.7,6.3,10.2,36.7,16.2,0.0,18.0,0.0,0.0,22.326666666666668,19.451119523962166,27.799999999999997,15.830008731184872,18.677777777777777,19.875203066846904,6.0,8.48528137423857
2021-03-22 10:21:48,36.6,11.4,29.4,25.200000000000003,36.0,15.600000000000001,64.8,3.8000000000000007,20.4,10.8,7.2,9.8,33.8,13.8,0.0,18.0,0.0,0.0,21.240000000000002,19.095027096592748,25.7,14.889876431209144,18.266666666666666,20.272341972660982,6.0,8.48528137423857
2021-03-22 10:21:49,37.8,10.200000000000001,28.200000000000003,17.10000000000001,36.0,12.3,68.4,1.9000000000000021,20.7,9.9,8.1,9.4,30.900000000000002,11.400000000000002,0.0,18.0,0.0,0.0,20.153333333333336,18.738934669223333,23.599999999999998,13.949744131233416,17.855555555555554,20.66948087847506,6.0,8.48528137423857
2021-03-22 10:21:50,39.0,9.0,27.0,9.0,36.0,9.0,72.0,0.0,21.0,9.0,9.0,9.0,28.0,9.0,0.0,18.0,0.0,0.0,19.066666666666666,18.38284224185392,21.5,13.009611831257688,17.444444444444443,21.066619784289138,6.0,8.48528137423857
2021-03-22 10:21:51,39.9,9.9,28.8,11.4,33.3,8.1,69.3,0.9,21.0,17.1,9.0,10.5,25.2,9.0,0.0,17.1,0.0,0.0,19.56,18.934537097074873,21.9,13.498203664949248,18.0,21.67288979911033,5.7,8.061017305526642
2021-03-22 10:21:52,40.8,10.8,30.6,13.8,30.6,7.2,66.6,1.8,21.0,25.2,9.0,12.0,22.4,9.0,0.0,16.2,0.0,0.0,20.053333333333335,19.486231952295824,22.3,13.986795498640806,18.555555555555554,22.279159813931525,5.4,7.636753236814712
